Id	Edition	Country	MedalCount
1	1980	China	0
1	1984	China	76
1	1988	China	53
1	1992	China	83
1	1996	China	110
1	2000	China	79
1	2004	China	94
1	2008	China	184
2	1980	United States of America	0
2	1984	United States of America	333
2	1988	United States of America	193
2	1992	United States of America	224
2	1996	United States of America	260
2	2000	United States of America	248
2	2004	United States of America	264
2	2008	United States of America	315
6	1980	Russia	0
6	1984	Russia	0
6	1988	Russia	0
6	1992	Russia	0
6	1996	Russia	115
6	2000	Russia	188
6	2004	Russia	192
6	2008	Russia	143
4	1980	Germany	0
4	1984	Germany	0
4	1988	Germany	0
4	1992	Germany	198
4	1996	Germany	124
4	2000	Germany	119
4	2004	Germany	149
4	2008	Germany	101
5	1980	Great Britain	45
5	1984	Great Britain	72
5	1988	Great Britain	53
5	1992	Great Britain	50
5	1996	Great Britain	26
5	2000	Great Britain	55
5	2004	Great Britain	57
5	2008	Great Britain	77
6	1980	Japan	0
6	1984	Japan	49
6	1988	Japan	20
6	1992	Japan	47
6	1996	Japan	43
6	2000	Japan	43
6	2004	Japan	94
6	2008	Japan	51
