Edition	Country	MedalCount
1896	AFG	0
1900	AFG	0
1904	AFG	0
1908	AFG	0
1912	AFG	0
1920	AFG	0
1924	AFG	0
1928	AFG	0
1932	AFG	0
1936	AFG	0
1948	AFG	0
1952	AFG	0
1956	AFG	0
1960	AFG	0
1964	AFG	0
1968	AFG	0
1972	AFG	0
1976	AFG	0
1980	AFG	0
1984	AFG	0
1988	AFG	0
1992	AFG	0
1996	AFG	0
2000	AFG	0
2004	AFG	0
2008	AFG	1
1896	AHO	0
1900	AHO	0
1904	AHO	0
1908	AHO	0
1912	AHO	0
1920	AHO	0
1924	AHO	0
1928	AHO	0
1932	AHO	0
1936	AHO	0
1948	AHO	0
1952	AHO	0
1956	AHO	0
1960	AHO	0
1964	AHO	0
1968	AHO	0
1972	AHO	0
1976	AHO	0
1980	AHO	0
1984	AHO	0
1988	AHO	1
1992	AHO	0
1996	AHO	0
2000	AHO	0
2004	AHO	0
2008	AHO	0
1896	ALG	0
1900	ALG	0
1904	ALG	0
1908	ALG	0
1912	ALG	0
1920	ALG	0
1924	ALG	0
1928	ALG	0
1932	ALG	0
1936	ALG	0
1948	ALG	0
1952	ALG	0
1956	ALG	0
1960	ALG	0
1964	ALG	0
1968	ALG	0
1972	ALG	0
1976	ALG	0
1980	ALG	0
1984	ALG	2
1988	ALG	0
1992	ALG	2
1996	ALG	3
2000	ALG	5
2004	ALG	0
2008	ALG	2
1896	ANZ	0
1900	ANZ	0
1904	ANZ	0
1908	ANZ	19
1912	ANZ	10
1920	ANZ	0
1924	ANZ	0
1928	ANZ	0
1932	ANZ	0
1936	ANZ	0
1948	ANZ	0
1952	ANZ	0
1956	ANZ	0
1960	ANZ	0
1964	ANZ	0
1968	ANZ	0
1972	ANZ	0
1976	ANZ	0
1980	ANZ	0
1984	ANZ	0
1988	ANZ	0
1992	ANZ	0
1996	ANZ	0
2000	ANZ	0
2004	ANZ	0
2008	ANZ	0
1896	ARG	0
1900	ARG	0
1904	ARG	0
1908	ARG	0
1912	ARG	0
1920	ARG	0
1924	ARG	11
1928	ARG	32
1932	ARG	4
1936	ARG	11
1948	ARG	12
1952	ARG	6
1956	ARG	2
1960	ARG	4
1964	ARG	1
1968	ARG	2
1972	ARG	1
1976	ARG	0
1980	ARG	0
1984	ARG	0
1988	ARG	13
1992	ARG	2
1996	ARG	20
2000	ARG	20
2004	ARG	47
2008	ARG	51
1896	ARM	0
1900	ARM	0
1904	ARM	0
1908	ARM	0
1912	ARM	0
1920	ARM	0
1924	ARM	0
1928	ARM	0
1932	ARM	0
1936	ARM	0
1948	ARM	0
1952	ARM	0
1956	ARM	0
1960	ARM	0
1964	ARM	0
1968	ARM	0
1972	ARM	0
1976	ARM	0
1980	ARM	0
1984	ARM	0
1988	ARM	0
1992	ARM	0
1996	ARM	2
2000	ARM	1
2004	ARM	0
2008	ARM	6
1896	AUS	2
1900	AUS	5
1904	AUS	0
1908	AUS	0
1912	AUS	0
1920	AUS	6
1924	AUS	10
1928	AUS	4
1932	AUS	5
1936	AUS	1
1948	AUS	16
1952	AUS	20
1956	AUS	61
1960	AUS	36
1964	AUS	42
1968	AUS	49
1972	AUS	20
1976	AUS	24
1980	AUS	12
1984	AUS	50
1988	AUS	34
1992	AUS	57
1996	AUS	132
2000	AUS	183
2004	AUS	157
2008	AUS	149
1896	AUT	5
1900	AUT	6
1904	AUT	1
1908	AUT	1
1912	AUT	14
1920	AUT	0
1924	AUT	4
1928	AUT	4
1932	AUT	5
1936	AUT	50
1948	AUT	4
1952	AUT	3
1956	AUT	4
1960	AUT	3
1964	AUT	0
1968	AUT	5
1972	AUT	3
1976	AUT	1
1980	AUT	5
1984	AUT	3
1988	AUT	1
1992	AUT	6
1996	AUT	3
2000	AUT	4
2004	AUT	8
2008	AUT	3
1896	AZE	0
1900	AZE	0
1904	AZE	0
1908	AZE	0
1912	AZE	0
1920	AZE	0
1924	AZE	0
1928	AZE	0
1932	AZE	0
1936	AZE	0
1948	AZE	0
1952	AZE	0
1956	AZE	0
1960	AZE	0
1964	AZE	0
1968	AZE	0
1972	AZE	0
1976	AZE	0
1980	AZE	0
1984	AZE	0
1988	AZE	0
1992	AZE	0
1996	AZE	1
2000	AZE	3
2004	AZE	5
2008	AZE	7
1896	BAH	0
1900	BAH	0
1904	BAH	0
1908	BAH	0
1912	BAH	0
1920	BAH	0
1924	BAH	0
1928	BAH	0
1932	BAH	0
1936	BAH	0
1948	BAH	0
1952	BAH	0
1956	BAH	2
