Id	Edition	Country	MedalCount
1	1896	Germany	33
1	1900	Germany	40
1	1904	Germany	13
1	1908	Germany	22
1	1912	Germany	52
1	1920	Germany	0
1	1924	Germany	0
1	1928	Germany	72
1	1932	Germany	38
1	1936	Germany	210
1	1948	Germany	0
1	1952	Germany	40
2	1896	Italy	0
2	1900	Italy	4
2	1904	Italy	0
2	1908	Italy	7
2	1912	Italy	21
2	1920	Italy	84
2	1924	Italy	51
2	1928	Italy	70
2	1932	Italy	77
2	1936	Italy	71
2	1948	Italy	63
2	1952	Italy	53
3	1896	Japan	0
3	1900	Japan	0
3	1904	Japan	0
3	1908	Japan	0
3	1912	Japan	0
3	1920	Japan	3
3	1924	Japan	1
3	1928	Japan	8
3	1932	Japan	31
3	1936	Japan	21
3	1948	Japan	0
3	1952	Japan	12
4	1896	Great Britain	7
4	1900	Great Britain	78
4	1904	Great Britain	2
4	1908	Great Britain	347
4	1912	Great Britain	160
4	1920	Great Britain	107
4	1924	Great Britain	66
4	1928	Great Britain	55
4	1932	Great Britain	34
4	1936	Great Britain	36
4	1948	Great Britain	56
4	1952	Great Britain	31
5	1896	Soviet Union	0
5	1900	Soviet Union	0
5	1904	Soviet Union	0
5	1908	Soviet Union	0
5	1912	Soviet Union	0
5	1920	Soviet Union	0
5	1924	Soviet Union	0
5	1928	Soviet Union	0
5	1932	Soviet Union	0
5	1936	Soviet Union	0
5	1948	Soviet Union	0
5	1952	Soviet Union	117
6	1896	United States of America	20
6	1900	United States of America	55
6	1904	United States of America	394
6	1908	United States of America	63
6	1912	United States of America	101
6	1920	United States of America	193
6	1924	United States of America	198
6	1928	United States of America	84
6	1932	United States of America	181
6	1936	United States of America	92
6	1948	United States of America	148
6	1952	United States of America	130
